PLAYER_NAME,TEAM_ABBREVIATION,PTS,REB,AST,STL,BLK
Neemias Queta,BOS,154,122,20,13,21
Nic Claxton,BKN,841,706,147,46,146
Nick Richards,CHA,652,539,54,26,74
Nick Smith Jr.,CHA,302,72,59,10,7
Nickeil Alexander-Walker,MIN,655,167,204,64,42
Nicolas Batum,PHI,320,248,128,48,38
Nikola Jokić,DEN,2085,976,708,108,68
Nikola Jović,MIA,352,192,90,25,14
Nikola Vučević,CHI,1370,801,254,50,60
Noah Clowney,BKN,133,81,18,8,16
Norman Powell,LAC,1056,195,82,43,22
OG Anunoby,NYK,733,208,107,68,36
Obi Toppin,IND,843,320,128,47,43
Ochai Agbaji,TOR,455,216,83,47,44
Olivier Sarr,OKC,34,36,2,0,7
Olivier-Maxence Prosper,DAL,121,79,22,7,4
Omer Yurtseven,UTA,222,208,29,8,18
Onuralp Bitim,CHI,80,32,13,3,2
Onyeka Okongwu,ATL,561,376,74,26,60
Orlando Robinson,MIA,99,84,34,7,8
Oscar Tshiebwe,IND,26,16,2,2,1
Oshae Brissett,BOS,201,160,44,19,8
Otto Porter Jr.,TOR,39,29,8,5,5
Ousmane Dieng,OKC,133,51,37,8,5
P.J. Tucker,LAC,52,85,16,16,7
P.J. Washington,DAL,939,411,141,72,59
Paolo Banchero,ORL,1804,554,431,71,47
Pascal Siakam,IND,1737,565,342,63,25
Pat Connaughton,MIL,428,239,161,40,19
Pat Spencer,GSW,4,4,5,0,0
Patrick Baldwin Jr.,WAS,168,123,29,18,15
Patrick Beverley,MIL,451,239,212,43,31
Patrick Williams,CHI,429,166,66,40,33
Patty Mills,MIA,127,35,34,20,1
Paul George,LAC,1671,388,262,113,37
Paul Reed,PHI,600,488,109,67,84
Payton Pritchard,BOS,787,265,281,39,6
Pete Nance,CLE,3,3,0,1,0
Peyton Watson,DEN,532,258,86,42,88
Precious Achiuwa,NYK,565,487,97,46,68
Quentin Grimes,DET,359,100,66,35,7
Quenton Jackson,IND,2,4,2,1,0
R.J. Hampton,MIA,10,6,8,0,0
RJ Barrett,TOR,1170,315,193,31,22
RaiQuan Gray,SAS,23,7,6,1,1
Rayan Rupert,POR,155,92,62,12,3
Reggie Bullock Jr.,HOU,96,73,15,12,5
Reggie Jackson,DEN,833,155,308,44,12
Richaun Holmes,WAS,199,182,25,11,19
Ricky Council IV,PHI,173,46,16,8,1
Robert Covington,PHI,127,97,24,39,18
Robert Williams III,POR,41,38,5,7,7
Robin Lopez,MIL,18,5,4,1,3
Ron Harper Jr.,TOR,0,0,1,0,0
Royce O'Neale,PHX,608,377,219,59,44
Rudy Gobert,MIN,1061,982,102,52,162
Rui Hachimura,LAL,923,294,81,41,25
Russell Westbrook,LAC,754,343,306,74,23
Ryan Arcidiacono,NYK,0,8,4,2,0
Ryan Rollins,MIL,44,13,14,10,3
Saben Lee,PHX,71,31,30,7,3
Saddiq Bey,ATL,863,411,92,51,11
Sam Hauser,BOS,712,276,82,40,25
Sam Merrill,CLE,485,120,108,19,4
Sandro Mamukelashvili,SAS,190,147,49,7,12
Santi Aldama,MEM,654,352,138,43,54
Sasha Vezenkov,SAC,225,96,19,20,7
Scoot Henderson,POR,868,194,336,48,13
Scottie Barnes,TOR,1191,494,363,75,88
Scotty Pippen Jr.,MEM,271,67,98,36,10
Seth Curry,CHA,226,68,44,22,6
Seth Lundy,ATL,14,7,0,0,0
Shaedon Sharpe,POR,510,160,94,28,12
Shai Gilgeous-Alexander,OKC,2254,415,465,150,67
Shake Milton,NYK,216,75,60,19,6
Shaquille Harrison,MEM,2,2,0,0,1
Sidy Cissoko,SAS,45,22,10,7,3
Simone Fontecchio,DET,692,246,101,44,23
Skylar Mays,LAL,155,43,85,21,4
Spencer Dinwiddie,LAL,795,205,356,51,22
Stanley Umude,DET,127,51,11,8,7
Stephen Curry,GSW,1956,330,379,54,28
Svi Mykhailiuk,BOS,162,51,35,11,1
T.J. McConnell,IND,727,191,390,72,8
T.J. Warren,MIN,41,22,9,4,1
Taj Gibson,DET,34,37,11,3,7
Talen Horton-Tucker,UTA,516,121,177,45,19
Tari Eason,HOU,215,153,27,31,19
Taurean Prince,LAL,697,230,119,58,35
Taylor Hendricks,UTA,292,185,32,28,30
Tazé Moore,POR,18,8,5,2,0
Terance Mann,LAC,658,254,119,43,15
Terquavion Smith,PHI,52,4,12,8,0
Terry Rozier,MIA,1205,247,342,63,21
Terry Taylor,CHI,46,37,10,5,2
Thaddeus Young,PHX,137,103,57,23,5
Thanasis Antetokounmpo,MIL,32,13,17,7,4
Theo Maledon,PHX,59,24,28,7,0
Thomas Bryant,MIA,217,141,23,10,16
Tim Hardaway Jr.,DAL,1139,254,139,42,6
Timmy Allen,MEM,13,17,5,4,0
Tobias Harris,PHI,1204,453,217,70,46
Torrey Craig,CHI,303,217,58,30,21
Tosan Evbuomwan,DET,101,60,16,6,5
Toumani Camara,POR,527,343,87,66,33
Trae Young,ATL,1389,149,583,72,11
Trayce Jackson-Davis,GSW,540,341,82,29,76
Tre Jones,SAS,771,289,478,78,9
Tre Mann,CHA,382,149,165,51,3
Trendon Watford,BKN,432,194,81,23,19
Trent Forrest,ATL,83,51,92,11,3
Trevelin Queen,ORL,40,20,18,7,5
Trey Jemison III,MEM,171,134,27,12,28
Trey Lyles,SAC,419,257,72,17,19
Trey Murphy III,NOP,842,280,124,51,28
Tristan Thompson,CLE,161,174,51,12,14
Tristan Vukcevic,WAS,85,36,13,5,7
Troy Brown Jr.,DET,247,144,60,24,3
Ty Jerome,CLE,4,1,3,0,0
TyTy Washington Jr.,MIL,14,5,5,3,0
Tyler Herro,MIA,875,222,188,30,3
Tyrese Haliburton,IND,1389,271,752,83,48
Tyrese Maxey,PHI,1816,258,433,69,33
Tyus Jones,WAS,790,179,485,71,18
Udoka Azubuike,PHX,35,32,3,1,6
Usman Garuba,GSW,3,7,1,1,3
Vasilije Micić,CHA,422,88,262,31,7
Victor Wembanyama,SAS,1522,755,274,88,254
Vince Williams Jr.,MEM,521,290,175,47,34
Vít Krejčí,ATL,135,52,50,13,6
Walker Kessler,UTA,518,481,60,30,154
Wendell Carter Jr.,ORL,603,381,95,35,28
Wendell Moore Jr.,MIN,18,12,6,5,1
Wenyen Gabriel,MEM,17,25,3,2,2
Wesley Matthews,ATL,110,53,23,16,11
Xavier Moon,LAC,33,18,21,3,3
Xavier Tillman,BOS,284,211,77,51,44
Yuta Watanabe,MEM,117,54,15,12,7
Zach Collins,SAS,776,370,194,34,52
Zach LaVine,CHI,487,129,98,21,8
Zavier Simpson,MEM,42,20,25,7,3
Zeke Nnaji,DEN,186,125,32,15,38
Ziaire Williams,MEM,420,180,75,36,9
Zion Williamson,NOP,1601,406,352,76,47
